Fund,Fund Manager,Category,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,classification
LIC MF Nifty 50 Index Fund(G),Sumit Bhatnagar,EQ-INDX,1.47,1.16,-0.06,6.63,3.88,1.27,2.19,-6.23,-0.33,-2.11,Equity : Index Funds
LIC MF Nifty 8 13 yr G Sec ETF,Marzban Irani,DT-ETF,0.73,-0.32,1.56,0.47,1.15,1.01,1.4,-0.08,0.88,0.51,Debt : ETFs
LIC MF Nifty Midcap 100 ETF,Sumit Bhatnagar,EQ-ETF,-0.55,5.79,1.61,7.86,5.88,0.58,1.33,-6.68,0.54,1.41,Equity : ETFs
LIC MF Nifty Next 50 Index Fund(G),Sumit Bhatnagar,EQ-INDX,2.75,6.94,4,5.86,4.56,0.68,2.25,-9.31,1.16,-3.83,Equity : Index Funds
LIC MF Overnight Fund Reg(G),Rahul Singh,DT-ON,0.55,0.52,0.54,0.53,0.53,0.53,0.52,0.53,0.51,0.55,Debt : Overnight
LIC MF Short Duration Fund Reg(G),Marzban Irani,DT-SD,0.61,0.25,0.82,0.47,0.92,0.62,0.84,0.43,0.5,0.48,Debt : Short Duration
LIC MF Small Cap Fund(G),Nikhil Rungta,EQ-SML,-3.19,9.54,4.24,11.15,4.04,2.44,1.18,-3.16,1.79,1.51,Equity : Small Cap
LIC MF ULIS,Dikshit Mittal,HY-SOL,-0.42,3.31,-0.12,5.79,4.4,1.25,1.08,-4.93,1.14,-0.96,Hybrid : Solution Oriented
LIC MF Ultra Short Duration Fund Reg(G),Rahul Singh,DT-USD,0.62,0.59,0.54,0.51,0.62,0.52,0.58,0.58,0.5,0.54,Debt : Ultra Short Duration
LIC MF Value Fund Reg(G),Nikhil Rungta,EQ-VAL,-0.8,3.55,2.26,8.13,6.23,1.81,2.04,-5.35,2.54,1.43,Equity : Value / Contra
Mahindra Manulife Aggressive Hybrid Fund Reg(G),Fatema Pacha,HY-EQ,1.4,4,0.18,7.23,4.47,1.51,1.41,-4.44,0.39,-1.27,Hybrid : Equity Oriented
Mahindra Manulife Arbitrage Fund Reg(G),Navin Matta,HY-ARB,0.49,0.59,0.43,0.54,0.48,0.46,0.39,0.47,0.46,0.51,Hybrid : Arbitrage
Mahindra Manulife Asia Pacific REITs FOF Reg(G),Krishna Sanghavi,FOF-OVR,-0.41,-4.03,0.47,-2.22,6.11,8.98,5.13,-7.5,-3.83,-2.6,FoFs : Overseas
Mahindra Manulife Balanced Advantage Fund Reg(G),Manish Lodha,HY-DYN,0.17,2.31,-0.23,4.4,2.24,1.32,0.93,-2.84,0.43,-0.21,Hybrid : Dynamic Asset Allocation
Mahindra Manulife Business Cycle Fund Reg(G),Krishna Sanghavi,EQ-THEM,1.12,7.19,0.85,6.59,7.46,0.6,2.15,-7.01,-1.15,-2.05,Equity : Thematic
Mahindra Manulife Consumption Fund Reg(G),Navin Matta,EQ-CONS,1.44,4.34,0.33,7.51,6.19,2.06,4.33,-9.03,-0.3,-1.19,Equity : Thematic - Consumption
Mahindra Manulife Dynamic Bond Fund Reg(G),Rahul Pal,DT-CR,0.7,-0.34,1.61,0.68,0.79,0.85,1.33,-0.18,0.27,0.43,Debt : Credit Risk
Mahindra Manulife ELSS Tax Saver Fund Reg(G),Fatema Pacha,EQ-ELSS,0.83,4.33,0.48,6.24,4.75,0.15,0.99,-6.08,0.23,-1.6,Equity : Tax Saving (ELSS)
Mahindra Manulife Equity Savings Fund Reg(G),Manish Lodha,HY-EQ,0.39,1.59,0.05,2.76,2.22,0.42,0.8,-1.72,0.16,-0.32,Hybrid : Equity Oriented
Mahindra Manulife Flexi Cap Fund Reg(G),Fatema Pacha,EQ-FLEX,0.44,3.91,0.27,6.96,5.14,0.5,1.43,-6.58,0.56,-1.6,Equity : Flexi Cap
Mahindra Manulife Focused Fund Reg(G),Krishna Sanghavi,EQ-FLEX,1.46,4.21,0.54,6.49,5.35,1.22,0.86,-7.27,0.28,-2.66,Equity : Flexi Cap
Mahindra Manulife Large & Mid Cap Fund Reg(G),Manish Lodha,EQ-L&M,-0.31,4.82,0.1,4.53,2.68,2.2,0.77,-5.78,-0.64,0.08,Equity : Large & Mid Cap
Mahindra Manulife Large Cap Fund Reg(G),Fatema Pacha,EQ-LC,2.02,2.92,0.2,6.78,5.39,1.03,0.15,-6.48,0.55,-2.53,Equity : Large Cap
Mahindra Manulife Liquid Fund Reg(G),Rahul Pal,DT-LIQ,0.64,0.6,0.6,0.57,0.6,0.58,0.58,0.59,0.56,0.59,Debt : Liquid
Mahindra Manulife Low Duration Fund Reg(G),Rahul Pal,DT-LOWD,0.64,0.61,0.54,0.54,0.69,0.53,0.6,0.64,0.5,0.55,Debt : Low Duration
Mahindra Manulife Manufacturing Fund Reg(G),Renjith Sivaram,EQ-THEM,-,-,-,-,3.73,-1.81,2.7,-7.54,0.11,-3.17,Equity : Thematic
Mahindra Manulife Mid Cap Fund Reg(G),Kirti Dalvi,EQ-MID,0.42,7.53,2.21,7.28,6.29,0.32,1.9,-5.99,0.84,-0.24,Equity : Mid Cap
Mahindra Manulife Multi Asset Allocation Fund Reg(G),Renjith Sivaram,HY-MULTI,-,2.34,2.41,2.91,2.48,0.82,1.63,-1.5,-0.97,-0.94,Hybrid : Multi Asset Allocation
Mahindra Manulife Multi Cap Fund Reg(G),Manish Lodha,EQ-MLC,-0.35,5.63,1.02,7.32,4.08,2.41,1.1,-6.44,-0.3,1.16,Equity : Multi Cap
Mahindra Manulife Overnight Fund Reg(G),Rahul Pal,DT-ON,0.56,0.53,0.55,0.53,0.53,0.53,0.52,0.53,0.52,0.55,Debt : Overnight
Mahindra Manulife Short Duration Fund Reg(G),Rahul Pal,DT-SD,0.66,0.35,0.74,0.55,0.92,0.63,0.81,0.41,0.52,0.54,Debt : Short Duration
Mahindra Manulife Small Cap Fund Reg(G),Vishal Jajoo,EQ-SML,-0.65,8.8,1.02,7.36,7.06,2.34,2.02,-4.94,-1.3,-0.87,Equity : Small Cap
Mahindra Manulife Ultra Short Duration Fund Reg(G),Rahul Pal,DT-USD,0.66,0.62,0.58,0.56,0.65,0.54,0.61,0.61,0.53,0.6,Debt : Ultra Short Duration
Mirae Asset Aggressive Hybrid Fund Reg(G),Harshad Borawake,HY-EQ,0.31,2.36,0.94,5.43,4.27,1.65,1.46,-4.62,0.33,-1.48,Hybrid : Equity Oriented
Mirae Asset Arbitrage Fund Reg(G),Jignesh Rao,HY-ARB,0.6,0.64,0.58,0.64,0.58,0.54,0.46,0.65,0.46,0.61,Hybrid : Arbitrage
Mirae Asset Balanced Advantage Fund Reg(G),Harshad Borawake,HY-DYN,0.02,2.21,0.67,3.71,2.8,1.11,0.94,-2.8,0.42,-0.47,Hybrid : Dynamic Asset Allocation
Mirae Asset Banking and Financial Services Fund Reg(G),Gaurav Kochar,EQ-FIN,-0.91,6.43,-1.81,8.98,0.56,-0.49,3.55,-2.71,-0.04,-1.91,Equity : Sectoral - Financial Services
Mirae Asset Banking and PSU Fund Reg(G),Kruti Chheta,DT-B&PSU,0.68,0.23,0.86,0.46,0.84,0.74,0.73,0.45,0.54,0.66,Debt : Banking & PSU
Mirae Asset BSE Sensex ETF,Ekta Gala,EQ-ETF,1.58,1.13,-0.33,7.06,3.51,0.94,2.34,-5.7,0.56,-2.1,Equity : ETFs
Mirae Asset Corp Bond Fund Reg(G),Amit Modani,DT-CORP,0.78,0.28,0.87,0.47,0.89,0.72,0.76,0.44,0.58,0.67,Debt : Corporate Bond
Mirae Asset CRISIL IBX Gilt Index   April 2033 Index Fund Reg(G),Amit Modani,DT-GILT,0.66,-0.24,1.45,0.55,1.16,0.94,1.45,-0.07,0.7,0.54,Debt : Gilt
Mirae Asset Dynamic Bond Fund Reg(G),Amit Modani,DT-DYN,0.53,0.32,0.72,0.54,0.83,0.58,0.68,0.51,0.42,0.46,Debt : Dynamic Bond
Mirae Asset ELSS Tax Saver Fund Reg(G),Neelesh Surana,EQ-ELSS,-0.16,4.52,0.44,7.36,5.09,1.48,1.36,-6.04,1.29,-1.42,Equity : Tax Saving (ELSS)
Mirae Asset Equity Allocator FoF Reg(G),Bharti Sawant,FOF-DOM,1.07,3.03,0.98,6.78,4.26,1.09,2.14,-6.67,0.03,-1.57,FoFs : Domestic
Mirae Asset Equity Savings Fund Reg(G),Harshad Borawake,HY-EQ,0.2,1.8,0.51,3.16,2.42,1.13,1.01,-1.94,0.62,-0.04,Hybrid : Equity Oriented
Mirae Asset Flexi Cap Fund Reg(G),Varun Goel,EQ-FLEX,0.13,3.61,0.3,6.96,2.84,1.19,2.63,-5.44,1.33,-0.28,Equity : Flexi Cap
Mirae Asset Focused Fund Reg(G),Gaurav Misra,EQ-MLC,-0.48,1.81,-0.72,7.45,5.2,2.11,4.03,-3.89,0.71,-0.63,Equity : Multi Cap
Mirae Asset Global Electric & Autonomous Vehicles ETFs FoF Reg(G),Siddharth Srivastava,FOF-OVR,-1.23,-4.55,2.01,-3.23,-0.78,-2.79,7.95,-3.93,4.78,-0.18,FoFs : Overseas
Mirae Asset Global X Artificial Intelligence & Technology ETF FoF Reg(G),Siddharth Srivastava,FOF-OVR,2.5,-5.36,3.64,7.07,-1.43,1.15,4.99,-1.29,6.62,0.85,FoFs : Overseas
Mirae Asset Gold ETF,Ritesh Patel,GOLD-ETF,7.95,6.37,0.79,-0.78,-3.45,3.68,4.55,5.33,-3.45,-0.65,Gold : ETFs
Mirae Asset Gold ETF FoF Reg(G),Ritesh Patel,GOLD-ETF,-,-,-,-,-,-,-,-,-3.52,-0.43,Gold : ETFs
Mirae Asset Great Consumer Fund Reg(G),Ankit Jain,EQ-CONS,0.63,4.51,0.59,7.89,7.02,3.06,4.81,-10.05,-0.35,-0.78,Equity : Thematic - Consumption
Mirae Asset Hang Seng TECH ETF,Siddharth Srivastava,EQ-ETF,1.88,6.77,-0.17,-3.48,-0.51,1.53,33.84,-5.13,-2.79,4.06,Equity : ETFs
Mirae Asset Hang Seng TECH ETF FoF Reg(G),Ekta Gala,FOF-OVR,-4.04,5.92,7.35,-0.33,-2.58,0.32,33.07,8.12,-5.42,-0.22,FoFs : Overseas
Mirae Asset Healthcare Fund Reg(G),Vrijesh Kasera,EQ-PHRM,0.88,0.19,-0.78,5.13,11.03,7.2,0.85,-1.32,-1.46,4.07,Equity : Sectoral - Pharma
Mirae Asset Large & Midcap Fund Reg(G),Neelesh Surana,EQ-L&M,-0.48,4.04,0.93,7.42,5.11,0.93,0.93,-6.55,0.74,-1.29,Equity : Large & Mid Cap
Mirae Asset Large Cap Fund Reg(G),Gaurav Misra,EQ-LC,1.01,2.37,0.25,7.25,4.76,1.31,2.47,-6.3,0.68,-1.83,Equity : Large Cap
Mirae Asset Liquid Fund Reg(G),Abhishek Iyer,DT-LIQ,0.65,0.61,0.6,0.57,0.61,0.58,0.59,0.58,0.56,0.59,Debt : Liquid
Mirae Asset Low Duration Fund Reg Savings Plan(G),Basant Bafna,DT-LOWD,0.69,0.54,0.62,0.56,0.71,0.56,0.62,0.61,0.49,0.58,Debt : Low Duration
Mirae Asset Midcap Fund Reg(G),Ankit Jain,EQ-MID,-1.89,6.13,1.19,8.15,5.1,0.99,1.63,-6.77,0.43,-0.24,Equity : Mid Cap
Mirae Asset Money Market Fund Reg(G),Amit Modani,DT-MM,0.71,0.59,0.59,0.54,0.68,0.6,0.63,0.61,0.56,0.59,Debt : Money Market
Mirae Asset Multi Asset Allocation Fund Reg(G),Harshad Borawake,HY-MULTI,1,2.36,1.25,3.72,1.98,1.45,1.85,-1.88,-0.45,-0.55,Hybrid : Multi Asset Allocation
Mirae Asset Multicap Fund Reg(G),Ankit Jain,EQ-MLC,-1.19,4.78,0.22,8.71,4.65,0.96,1.21,-4.73,0.34,-1.04,Equity : Multi Cap
Mirae Asset Nifty 100 ESG Sector Leaders ETF,Ekta Gala,EQ-ETF,1.58,1.09,0.02,7.18,3.89,1.62,2.49,-6.81,0.04,-2.13,Equity : ETFs
Mirae Asset Nifty 100 ESG Sector Leaders FoF Reg(G),Ekta Gala,FOF-DOM,1.68,1,-0.2,7.26,3.86,1.49,2.59,-7.13,0.35,-2.19,FoFs : Domestic
Mirae Asset Nifty 100 Low Volatility 30 ETF,Ekta Gala,EQ-ETF,0.84,-1.45,0.04,6.97,6.09,2.44,3.67,-8.0,-1.82,-0.8,Equity : ETFs
Mirae Asset Nifty 1D Rate Liquid ETF(G),Amit Modani,DT-ETF,-,-,-,-,-,-,-,-,-,0.54,Debt : ETFs
Mirae Asset Nifty 1D Rate Liquid ETF(IDCW),Amit Modani,DT-ETF,0.54,0.51,0.53,0.48,0.52,0.51,0.5,0.52,0.5,0.52,Debt : ETFs
Mirae Asset Nifty 200 Alpha 30 ETF,Ekta Gala,EQ-ETF,2.14,5.57,4.79,6.33,6.52,1.22,-2.17,-8.97,0.47,0.12,Equity : ETFs
Mirae Asset Nifty 50 ETF,Ekta Gala,EQ-ETF,1.56,1.24,0.02,6.74,3.98,1.35,2.27,-6.12,-0.26,-2.02,Equity : ETFs
Mirae Asset Nifty 50 Index Fund Reg(G),Ekta Gala,EQ-INDX,-,-,-,-,-,-,-,-,-0.35,-2.08,Equity : Index Funds
Mirae Asset Nifty 8 13 yr G Sec ETF,Amit Modani,DT-ETF,0.73,-0.31,1.55,0.47,1.15,1.01,1.4,-0.09,0.89,0.51,Debt : ETFs
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund Reg(G),Amit Modani,DT-B&PSU,0.63,0.45,0.69,0.59,0.78,0.61,0.62,0.66,0.45,0.54,Debt : Banking & PSU
Mirae Asset Nifty Bank ETF,Ekta Gala,EQ-ETF,2.16,4.83,-0.31,6.92,-1.49,-0.17,3.15,-2.84,1.12,-2.31,Equity : ETFs
Mirae Asset Nifty EV and New Age Automotive ETF,Ekta Gala,EQ-ETF,-,-,-,-,-,0.31,2.97,-10.67,-2.16,-2.72,Equity : ETFs
Mirae Asset Nifty Financial Services ETF,Ekta Gala,EQ-ETF,2.86,4.05,-0.02,7.87,-0.01,1.17,3.55,-2.43,0.55,-2.09,Equity : ETFs
Mirae Asset Nifty India Manufacturing ETF,Ekta Gala,EQ-ETF,4.15,5.93,5.49,6.87,4.02,0.05,2.82,-9.01,-0.84,-1.92,Equity : ETFs
Mirae Asset Nifty India Manufacturing ETF FoF Reg(G),Ekta Gala,FOF-DOM,4.15,5.8,5.49,6.66,3.86,-0.05,3.01,-9.02,-0.88,-2.22,FoFs : Domestic
Mirae Asset Nifty IT ETF,Ekta Gala,EQ-ETF,-7.49,-4.84,-1.61,11.64,13.13,4.76,-1.98,-3.12,6.75,0.43,Equity : ETFs
Mirae Asset Nifty LargeMidcap 250 Index Fund Reg(G),Ekta Gala,EQ-INDX,-,-,-,-,-,-,-,-,-0.02,-0.63,Equity : Index Funds
Mirae Asset Nifty Metal ETF,Ekta Gala,EQ-ETF,-,-,-,-,-,-,-,-,-3.11,-4.05,Equity : ETFs
Mirae Asset Nifty Midcap 150 ETF,Ekta Gala,EQ-ETF,-0.36,6.35,2.22,7.97,5.03,0.37,1.75,-6.42,0.21,1.12,Equity : ETFs
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,Ekta Gala,EQ-ETF,-,-,-,7.29,5.85,-0.12,-0.5,-5.78,0.68,-0.69,Equity : ETFs
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF FoF Reg(G),Ekta Gala,FOF-DOM,-,-,-,7.07,5.48,0,-0.94,-5.52,0.43,-0.66,FoFs : Domestic
Mirae Asset Nifty Next 50 ETF,Ekta Gala,EQ-ETF,2.81,7.05,4.11,5.98,4.65,0.79,2.36,-9.29,1.24,-3.77,Equity : ETFs
Mirae Asset Nifty PSU Bank ETF,Ekta Gala,EQ-ETF,-,-,-,-,-,-,-,-,1.31,-4.02,Equity : ETFs
Mirae Asset Nifty SDL Jun 2027 Index Fund Reg(G),Amit Modani,DT-M&LD,0.51,0.49,0.88,0.72,0.99,0.68,0.73,0.58,0.46,0.5,Debt : Medium to Long Duration
Mirae Asset Nifty SDL June 2028 Index Fund Reg(G),Mahendra Kumar Jajoo,DT-M&LD,0.61,0.26,0.93,0.64,1.09,0.78,0.87,0.47,0.47,0.43,Debt : Medium to Long Duration
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,Ekta Gala,EQ-ETF,-3.63,10.77,-2.04,9.78,5.82,-0.56,-0.67,-3.8,-0.27,-1.89,Equity : ETFs
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF FoF Reg(G),Ekta Gala,FOF-DOM,-,10.36,-1.9,8.58,6.49,-0.77,-0.78,-4.07,-0.26,-1.71,FoFs : Domestic
Mirae Asset Nifty Total Market Index Fund Reg(G),Ekta Gala,EQ-INDX,-,-,-,-,-,-,-,-,0.02,-1.41,Equity : Index Funds
Mirae Asset Nifty200 Alpha 30 ETF FoF Reg(G),Ekta Gala,FOF-DOM,-,-,-,-,-,1.3,-2.29,-8.96,0.21,-0.1,FoFs : Domestic
Mirae Asset Nifty500 Multicap 50:25:25 ETF,Ekta Gala,EQ-ETF,-,-,-,-,-,-,1.82,-5.86,0.03,-0.8,Equity : ETFs
Mirae Asset NYSE FANG+ ETF,Siddharth Srivastava,EQ-ETF,1.54,-2.75,5.97,9.74,-1.03,-0.47,2.67,2.16,7.21,7.2,Equity : ETFs
Mirae Asset NYSE FANG+ETF FoF Reg(G),Ekta Gala,FOF-OVR,5,9.68,-1.03,-0.82,4.03,-3.57,0.07,3.48,13.42,22.27,FoFs : Overseas
Mirae Asset Overnight Fund Reg(G),Abhishek Iyer,DT-ON,0.55,0.53,0.55,0.53,0.55,0.54,0.52,0.53,0.52,0.55,Debt : Overnight
Mirae Asset S&P 500 Top 50 ETF,Siddharth Srivastava,EQ-ETF,2.74,-3.63,6.26,6.05,-0.08,2.24,2.19,-0.36,5.75,1.85,Equity : ETFs
Mirae Asset S&P 500 Top 50 ETF FoF Reg(G),Ekta Gala,FOF-OVR,6.59,5.61,2.01,0.03,1.66,-1.9,1.51,3.34,17.27,9.22,FoFs : Overseas
Mirae Asset Short Duration Fund Reg(G),Basant Bafna,DT-SD,0.65,0.25,0.81,0.53,0.85,0.67,0.8,0.42,0.53,0.53,Debt : Short Duration
Mirae Asset Silver ETF,Ritesh Patel,GOLD-ETF,6.41,7.99,14.97,-4.77,-5.58,2.38,5.29,7.57,-7.3,-3.85,Gold : ETFs
Mirae Asset Ultra Short Duration Fund Reg(G),Basant Bafna,DT-USD,0.69,0.61,0.61,0.57,0.67,0.58,0.63,0.63,0.55,0.61,Debt : Ultra Short Duration
Motilal Oswal 5 Year G Sec FoF Reg(G),Rakesh Shetty,FOF-DOM,0.57,0.33,0.85,0.41,0.88,1.65,0.17,0.3,0.83,0.59,FoFs : Domestic
Motilal Oswal Asset Allocation Passive FoF Aggressive Reg(G),Bhalchandra Shinde,FOF-DOM,1.97,1.56,1.52,4.14,2.26,1.64,1.96,-2.88,1.16,-0.95,FoFs : Domestic
Motilal Oswal Asset Allocation Passive FoF Conservative Reg(G),Bhalchandra Shinde,FOF-DOM,1.61,1.45,1.16,2.59,1.55,1.68,1.38,-1.44,0.73,-0.36,FoFs : Domestic
Motilal Oswal Balanced Advantage Fund Reg(G),Santosh Singh,HY-DYN,-0.26,2.28,0.58,5.03,4.92,4.73,0.01,-5.88,-2.2,-1.9,Hybrid : Dynamic Asset Allocation
Motilal Oswal BSE Enhanced Value ETF,Swapnil P Mayekar,EQ-ETF,0.4,9.92,0.9,3.31,6.71,-0.16,-0.2,-9.14,-0.8,-4.12,Equity : ETFs
Motilal Oswal BSE Enhanced Value Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,0.26,9.74,0.83,3.23,6.62,-0.23,-0.27,-9.19,-0.86,-4.17,Equity : Index Funds
Motilal Oswal BSE Financials ex Bank 30 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,0.97,2.53,-1.65,6.86,5.45,3.21,2.27,-7.65,-1.82,-1.19,Equity : Index Funds
Motilal Oswal BSE Healthcare ETF,Swapnil P Mayekar,EQ-ETF,-0.11,0.98,-1.45,6.34,9.31,6.68,2.43,-0.74,-0.56,3.65,Equity : ETFs
Motilal Oswal BSE Low Volatility ETF,Swapnil P Mayekar,EQ-ETF,1.07,1.33,-0.9,6.78,4.38,0.3,3.37,-8.21,-2.46,-0.64,Equity : ETFs
Motilal Oswal BSE Low Volatility Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,0.58,1.24,-0.98,6.62,4.3,0.24,3.3,-8.25,-2.52,-0.7,Equity : Index Funds
Motilal Oswal BSE Quality ETF,Swapnil P Mayekar,EQ-ETF,-0.2,2.77,7.7,4.23,7.53,0.14,0.39,-9.21,-2.84,-1.97,Equity : ETFs
Motilal Oswal BSE Quality Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-0.35,2.7,7.65,4.1,7.44,0,0.28,-9.15,-2.83,-2.01,Equity : Index Funds
Motilal Oswal Business Cycle Fund Reg(G),Ajay Khandelwal,EQ-THEM,-,-,-,-,-,-,13.68,-0.35,9.81,4.08,Equity : Thematic
Motilal Oswal Developed Market Ex US ETFs FoF Reg(G),Sunil Sawant,FOF-OVR,3.85,-3.22,4.9,-2.27,3,3.25,0.77,-4.83,0.41,-2.16,FoFs : Overseas
Motilal Oswal Digital India Fund Reg(G),Varun Sharma,EQ-TECH,-,-,-,-,-,-,-,-,-,2.98,Equity : Sectoral - Technology
Motilal Oswal ELSS Tax Saver Fund Reg(G),Ajay Khandelwal,EQ-ELSS,2.4,6.5,1.38,8.46,3.53,3.96,4.93,-3.69,1.78,3.8,Equity : Tax Saving (ELSS)
Motilal Oswal Flexi Cap Fund Reg(G),Niket Shah,EQ-FLEX,2.8,4.15,0.23,10.67,3.91,2.64,6.59,-5.93,4.55,2.66,Equity : Flexi Cap
Motilal Oswal Focused Fund Reg(G),Santosh Singh,EQ-LC,1.42,3.71,0.27,7.25,5.94,4.6,0.88,-8.8,-1.9,-2.03,Equity : Large Cap
Motilal Oswal Gold and Silver ETFs FoF Reg(G),Bhalchandra Shinde,GOLD-MF,7.2,7.58,4.77,-2.06,-3.99,2.69,5.14,5.65,-5.04,-1.48,Gold : MFs
Motilal Oswal Large & Midcap Fund Reg(G),Ajay Khandelwal,EQ-L&M,1.79,5.67,1.05,8.93,3.63,4.19,5.65,-3.93,1.74,4.81,Equity : Large & Mid Cap
Motilal Oswal Large Cap Fund Reg(G),Ajay Khandelwal,EQ-LC,0.56,4.17,1.65,9.63,4.42,2.88,3.85,-4.87,2.5,1.85,Equity : Large Cap
Motilal Oswal Liquid Fund Reg(G),Rakesh Shetty,DT-LIQ,0.61,0.56,0.57,0.54,0.57,0.53,0.56,0.54,0.51,0.56,Debt : Liquid
Motilal Oswal Manufacturing Fund Reg(G),Ajay Khandelwal,EQ-THEM,-,-,-,-,-,-,5.58,-1.81,2.41,6.89,Equity : Thematic
Motilal Oswal Midcap Fund Reg(G),Niket Shah,EQ-MID,3.28,4.71,0.44,14.71,5.02,1.61,5.49,-4.25,5.3,3.81,Equity : Mid Cap
Motilal Oswal Multi Asset Fund Reg(G),Santosh Singh,HY-MULTI,-0.45,1.89,-0.45,3.72,2.72,4.83,0.43,-6.47,-3.23,-2.37,Hybrid : Multi Asset Allocation
Motilal Oswal Multi Cap Fund Reg(G),Ajay Khandelwal,EQ-MLC,-,-,-,-,6.52,6.13,6.37,-4.34,8.34,4.34,Equity : Multi Cap
Motilal Oswal Nasdaq 100 ETF,Sunil Sawant,EQ-ETF,1.7,-4.4,6.33,6.13,-1.29,1.27,2.44,-0.53,5.86,1.63,Equity : ETFs
Motilal Oswal Nasdaq 100 FOF Reg(G),Swapnil P Mayekar,FOF-OVR,3.79,-3.17,3.94,8.14,-4.02,2.28,1.91,1.9,5.69,21.19,FoFs : Overseas
Motilal Oswal NASDAQ Q 50 ETF,Sunil Sawant,EQ-ETF,4.44,-6.44,2.81,1.16,1.75,2.13,4.48,-1.28,13.21,-2.91,Equity : ETFs
Motilal Oswal Nifty 200 Momentum 30 ETF,Swapnil P Mayekar,EQ-ETF,2.71,5.81,4.89,3.41,4.95,0.48,1.29,-8.17,-0.73,-4.17,Equity : ETFs
Motilal Oswal Nifty 200 Momentum 30 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,2.65,5.73,4.79,3.48,4.85,0.41,1.21,-8.21,-0.79,-4.17,Equity : Index Funds
Motilal Oswal Nifty 5 Year Benchmark G Sec ETF,Rakesh Shetty,DT-ETF,0.59,0.02,1.08,0.59,1.34,0.86,1.0,-0.01,0.76,0.48,Debt : ETFs
Motilal Oswal Nifty 50 ETF,Swapnil P Mayekar,EQ-ETF,1.56,1.24,0.02,6.73,3.98,1.35,2.26,-6.12,-0.26,-2.02,Equity : ETFs
Motilal Oswal Nifty 50 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,1.52,1.2,-0.03,6.7,3.93,1.31,2.23,-6.17,-0.3,-2.06,Equity : Index Funds
Motilal Oswal Nifty 500 ETF,Swapnil P Mayekar,EQ-ETF,0.81,3.65,0.7,7.01,4.36,1.02,2.14,-6.37,0.03,-1.38,Equity : ETFs
Motilal Oswal Nifty 500 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,0.74,3.45,0.65,6.87,4.27,0.97,2.08,-6.42,-0.02,-1.44,Equity : Index Funds
Motilal Oswal Nifty 500 Momentum 50 ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-,-,-,-,-7.41,0.09,-3.62,Equity : ETFs
Motilal Oswal Nifty 500 Momentum 50 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-,-,-,-,-,-,-,-7.46,0.01,-3.49,Equity : Index Funds
Motilal Oswal Nifty Bank Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,2.07,4.72,-0.39,6.82,-1.53,-0.24,3.08,-2.91,1.06,-2.36,Equity : Index Funds
Motilal Oswal Nifty India Defence ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-,-,-,-3.9,-4.67,5.64,-3.2,Equity : ETFs
Motilal Oswal Nifty India Defence Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-,-,-,-,-,-9.18,-3.97,-4.86,5.58,-3.29,Equity : Index Funds
Motilal Oswal Nifty Microcap 250 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-6.45,10.47,-1.58,11.5,7.7,1.15,2.23,-3.43,0.98,-0.47,Equity : Index Funds
Motilal Oswal Nifty Midcap 100 ETF,Swapnil P Mayekar,EQ-ETF,-0.55,5.82,1.66,7.91,5.95,0.58,1.49,-6.72,0.56,1.43,Equity : ETFs
Motilal Oswal Nifty Midcap 150 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-0.46,6.27,2.17,7.9,4.97,0.31,1.7,-6.5,0.14,1.03,Equity : Index Funds
Motilal Oswal Nifty MidSmall Financial Services Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-,-,-,-,-,-,-,-,-,1.06,Equity : Index Funds
Motilal Oswal Nifty MidSmall Healthcare Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-,-,-,-,-,-,-,-,-,4.86,Equity : Index Funds
Motilal Oswal Nifty MidSmall India Consumption Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-,-,-,-,-,-,-,-,-,4.73,Equity : Index Funds
Motilal Oswal Nifty MidSmall IT and Telecom Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-,-,-,-,-,-,-,-,-,2.17,Equity : Index Funds
